,2
1,1101
2,1102
3,1103
4,1104
5,1108
6,1109
7,1110
8,1201
9,1203
10,1210
11,1213
12,1215
13,1216
14,1217
15,1218
16,1219
17,1220
18,1225
19,1227
20,1229
21,1231
22,1232
23,1233
24,1234
25,1235
26,1236
27,1256
28,1301
29,1303
30,1304
31,1305
32,1307
33,1308
34,1309
35,1310
36,1312
37,1313
38,1314
39,1315
40,1316
41,1319
42,1321
43,1323
44,1324
45,1325
46,1326
47,1337
48,1338
49,1339
50,1340
51,1341
52,1342
53,1402
54,1409
55,1410
56,1413
57,1414
58,1416
59,1417
60,1418
61,1419
62,1423
63,1432
64,1434
65,1435
66,1436
67,1437
68,1438
69,1439
70,1440
71,1441
72,1442
73,1443
74,1444
75,1445
76,1446
77,1447
78,1449
79,1451
80,1452
81,1453
82,1454
83,1455
84,1456
85,1457
86,1459
87,1460
88,1463
89,1464
90,1465
91,1466
92,1467
93,1468
94,1470
95,1471
96,1472
97,1473
98,1474
99,1475
100,1476
101,1477
102,1503
103,1504
104,1506
105,1512
106,1513
107,1514
108,1515
109,1516
110,1517
111,1519
112,1521
113,1522
114,1524
115,1525
116,1526
117,1527
118,1528
119,1529
120,1530
121,1531
122,1532
123,1533
124,1535
125,1536
126,1537
127,1538
128,1539
129,1540
130,1541
131,1558
132,1560
133,1568
134,1582
135,1583
136,1587
137,1589
138,1590
139,1597
140,1598
141,1603
142,1604
143,1605
144,1608
145,1609
146,1611
147,1612
148,1614
149,1615
150,1616
151,1617
152,1618
153,1626
154,1701
155,1702
156,1707
157,1708
158,1709
159,1710
160,1711
161,1712
162,1713
163,1714
164,1717
165,1718
166,1720
167,1721
168,1722
169,1723
170,1725
171,1726
172,1727
173,1730
174,1731
175,1732
176,1733
177,1734
178,1735
179,1736
180,1737
181,1752
182,1760
183,1762
184,1773
185,1776
186,1783
187,1786
188,1789
189,1795
190,1802
191,1805
192,1806
193,1808
194,1809
195,1810
196,1817
197,1903
198,1904
199,1905
200,1906
201,1907
202,1909
203,2002
204,2006
205,2007
206,2008
207,2009
208,2010
209,2012
210,2013
211,2014
212,2015
213,2017
214,2020
215,2022
216,2023
217,2024
218,2025
219,2027
220,2028
221,2029
222,2030
223,2031
224,2032
225,2033
226,2034
227,2038
228,2049
229,2059
230,2062
231,2069
232,2101
233,2102
234,2103
235,2104
236,2105
237,2106
238,2107
239,2108
240,2109
241,2114
242,2115
243,2201
244,2204
245,2206
246,2207
247,2208
248,2211
249,2227
250,2228
251,2231
252,2233
253,2236
254,2239
255,2241
256,2243
257,2247
258,2250
259,2301
260,2302
261,2303
262,2305
263,2308
264,2312
265,2313
266,2314
267,2316
268,2317
269,2321
270,2323
271,2324
272,2327
273,2328
274,2329
275,2330
276,2331
277,2332
278,2337
279,2338
280,2340
281,2342
282,2344
283,2345
284,2347
285,2348
286,2349
287,2351
288,2352
289,2353
290,2354
291,2355
292,2356
293,2357
294,2358
295,2359
296,2360
297,2362
298,2363
